Data Year - Fiscal,Tobin's Q,EPS,Liquidity,Profitability,Productivity,Leverage Ratio,Asset Turnover,Operational Margin,Return on Equity,Market Book Ratio,Assets Growth,Sales Growth,Employee Growth,BK
2007,6.65,-0.36,-1.35,-20.95,-0.16,-1.16,0.63,-0.26,-0.65,-1.47,-0.036,-0.296,-0.786,0
2009,0.825,-4.834,0.245,-1.853,-0.089,1.644,0.51,-0.174,-74.363,3.072,-0.542,-0.827,-0.681,1
2008,5.02,-0.056,0.041,-14.427,-2.367,0.19,0.506,-4.676,-0.626,2801.4,-0.141,-0.456,-0.6,1
2008,0.823,-0.375,0.073,-1.658,-0.209,1.869,0.231,-0.902,-5.777,30.435,-0.174,-0.615,-0.585,1
2008,2.664,-10.544,-0.416,-1.776,0.178,-1.585,1.133,0.157,-22.433,-0.215,-0.767,-0.647,-0.471,1
2008,1.974,-2.074,-1.117,-3.711,-0.552,-1.415,1.212,-0.455,-10.914,-10.136,-0.151,0.397,-0.4,1
2010,1.288,-0.193,-0.617,-0.47,0.072,-326.491,1.015,0.071,-0.07,-1261.1,-0.018,0.034,-0.351,1
2011,2.047,-4.094,-1.621,-3.707,-2.851,-1.787,0.399,-7.142,-12.259,-8.322,-0.748,0.143,-0.341,1
2007,0.86,3.16,0.32,0.7,0.01,0.15,0.55,0.02,0.17,8.3,0.22,-0.355,-0.339,0
2007,1.216,-0.016,0.172,-0.763,-0.02,3.314,2.654,-0.008,-0.005,165.13,-0.11,-0.173,-0.312,1
2008,0.533,-0.456,0.119,-6.505,-0.976,0.031,0.305,-3.195,-3.775,11.019,-0.527,-0.659,-0.3,1
2007,2.06,-0.601,0.519,-4.474,-0.221,6.026,1.048,-0.211,-0.319,337.636,-0.341,0.018,-0.292,1
2008,1.276,-3.651,-0.424,-1.077,0.029,-2.288,1.737,0.017,-40.562,-3.186,-0.393,-0.105,-0.281,1
2007,3.125,-0.042,0.61,-20.01,0.122,-1.65,2.653,0.046,-0.263,-40.646,-0.008,0.196,-0.264,1
2014,1.743,-21.069,0.054,-1.554,0.046,-2.135,1.054,0.044,-2.349,-2.479,-0.301,0.257,-0.222,1
2008,0.976,-1.439,-0.286,-1.136,-0.282,2.545,0.437,-0.645,-2.998,32.225,-0.271,-0.601,-0.208,1
2009,1.631,-1.6,-0.837,-3.463,0.11,-2.256,3.537,0.031,-3.902,-8.803,-0.446,-0.366,-0.208,1
2007,4.062,-0.222,0.012,-3.888,-0.782,0.291,0.121,-6.462,-0.244,1329.693,-0.564,0.104,-0.198,1
2007,0.71,-0.84,0.18,0.43,-0.04,0.15,0.95,-0.05,-0.09,6.37,0.002,-0.1,-0.198,0
2012,1.751,-4.329,-0.779,-1.309,-0.028,-2.086,1.516,-0.019,-86.576,-0.062,-0.236,-0.22,-0.186,1
2007,1.05,-1.76,0.16,-0.49,-0.18,2.87,1.93,-0.09,-1.96,14.08,0.438,-0.003,-0.186,0
2014,9.223,-0.309,-1.108,-16.489,-1.519,-0.821,1.068,-1.422,-0.137,-7.473,0.226,1.004,-0.179,1
2007,1.56,0.36,0.27,-0.51,0.05,0.38,0.62,0.09,0.04,298.37,0.091,-0.048,-0.175,0
2008,0.85,-2.036,0.269,-0.476,-0.1,1.264,4.503,-0.022,-2.514,1.724,-0.262,-0.285,-0.173,1
2007,1.38,0,0.28,0.52,0.03,0.46,1.14,0.03,0,91.89,-0.029,-0.151,-0.166,0
2009,1.212,-9.466,-0.097,-0.326,0.082,-10.901,0.617,0.133,-5.634,-55.293,-0.43,-0.139,-0.161,1
2013,1.004,-0.144,0.006,-1.989,-0.28,0.041,0.397,-0.705,-0.412,155.464,-0.113,0.018,-0.143,1
2007,0.84,-1.23,0.43,0.64,-0.19,0.28,1.63,-0.12,-0.33,1.16,-0.142,-0.192,-0.143,0
2009,1.383,-17.075,0.009,-0.716,0.001,-0.014,0.567,0.002,-210.797,-0.149,-0.318,0.11,-0.141,1
2013,4.948,-3.153,0.164,-6.674,-1.445,-1.475,0.021,-68.134,-1.877,-131.965,-0.709,19.977,-0.137,1
2008,1.617,-0.288,0.235,-7.612,-2.074,0.028,0,,-1.424,65.976,-0.315,0,-0.136,1
2010,1.436,-11.115,0.264,-0.645,-0.117,-0.351,3.054,-0.038,-44.479,-0.616,-0.065,-0.083,-0.133,1
2011,1.096,-5.746,0.507,-2.783,-0.135,10.326,0.599,-0.226,-4.869,131.249,-0.436,-0.086,-0.133,1
2014,1.966,-0.572,-1.415,-1.538,0.072,-1.79,0.469,0.155,-2.884,-5.666,-0.113,0.014,-0.133,1
2007,1.94,2.91,0.2,-0.21,0.16,0.63,0.43,0.37,0.06,3070.8,0.025,0.035,-0.129,0
2012,1.687,-4.908,-1.42,-2.094,0.04,-1.872,1.34,0.03,-94.381,-0.165,-0.334,-0.134,-0.128,1
2009,0.888,50.906,0.026,-0.056,0.024,2.2,1.571,0.015,2.679,0.74,-0.029,-0.257,-0.126,1
2007,2.292,-19.548,-1.155,-1.592,-0.341,-1.032,3.697,-0.092,-930.842,-0.025,-0.425,-0.035,-0.124,1
2007,1.485,-3.179,-0.077,-0.384,-0.046,-0.143,2.92,-0.016,-48.903,-0.288,-0.114,-0.041,-0.12,1
2009,0.99,-7.435,-0.023,-0.208,-0.018,7.39,0.597,-0.03,-1.638,17.45,-0.105,0.155,-0.12,1
2012,0.884,-3.873,0.126,-0.243,-0.071,2.146,0.913,-0.077,-1.206,16.218,-0.143,-0.066,-0.117,1
2007,1.877,-25.23,0.079,-1.21,-0.068,-0.163,1.805,-0.037,-1261.478,-0.008,-0.279,-0.094,-0.115,1
2007,0.96,-3.36,0.19,-0.5,-0.2,0.44,0.99,-0.21,-1.23,23.32,-0.377,-0.366,-0.114,0
2013,1.075,-2.735,0.081,-0.975,0.082,16.572,1.744,0.047,-1.638,52.825,-0.171,0.078,-0.111,1
2007,1.52,-0.11,0.22,-0.34,0.07,0.52,1.46,0.05,-0.01,145.89,0.1,0.097,-0.11,0
2008,1.057,-3.295,-0.289,-0.537,0.027,-28.458,2.147,0.012,-7.164,-51.744,-0.333,-0.04,-0.104,1
2007,2.49,-0.032,0.231,-7.516,-0.242,3.495,0.424,-0.571,-0.167,1700.408,-0.154,-0.357,-0.103,1
2010,0.661,1.277,-0.104,0.01,0.076,0.926,0.331,0.229,0.3,1.652,-0.158,-0.299,-0.091,1
2007,1.603,-0.494,-0.125,-0.409,-0.051,3.838,0.084,-0.604,-0.251,-1815.569,0.139,0.379,-0.082,1
2008,0.875,-1.04,-0.698,-0.727,-0.493,4.649,0.181,-2.729,-15.066,27.107,-0.371,0.038,-0.074,1
2007,1.28,-0.1,0.03,0.3,0.06,1.29,0.94,0.06,-0.01,141.65,-0.111,-0.008,-0.069,0
2013,1.023,-2.754,0.156,-0.575,0.009,-11.026,1.405,0.007,-11.975,-51.498,0.014,-0.039,-0.067,1
2007,2.39,-0.25,-0.01,-2.79,-0.16,0.47,0.66,-0.24,-0.11,93.41,0.007,1.774,-0.063,0
2007,0.91,2.28,0.14,0.44,0.09,0.03,1.87,0.05,0.1,21.46,0.048,-0.013,-0.061,0
2007,0.99,-0.58,0.13,0.05,0.04,1.98,1.31,0.03,-0.12,2.98,-0.03,-0.034,-0.057,0
2007,1.31,3.33,0.07,0.36,0.12,0.89,0.49,0.25,0.12,473.45,0.105,0.025,-0.05,0
2007,1.32,-0.22,0.08,-0.88,0.05,3.44,1.37,0.04,-0.05,1615.93,0.025,-0.018,-0.048,0
2007,1.03,0.74,0.22,0.56,0.07,0.23,1.26,0.06,0.07,36.06,0.03,0.046,-0.046,0
2012,1.227,-2.681,0.069,-0.336,-0.192,1.733,2.146,-0.09,-0.707,95.135,-0.163,-0.025,-0.043,1
2007,2.95,2.69,0.24,0.22,0.15,0.45,0.74,0.21,0.05,3370.01,0.041,0.085,-0.042,0
2007,1.29,-0.03,0.44,0.39,-0.01,0,1.85,-0.01,0,13.84,-0.072,-0.068,-0.035,0
2007,0.91,1.28,0.19,0.42,0.04,0.38,1.3,0.03,0.07,68.88,-0.019,0.001,-0.034,0
2008,2.009,-0.062,0.386,-2.946,-0.476,0.065,0.427,-1.115,-0.891,-81.101,0.137,1.94,-0.033,1
2007,1.86,5.71,-0.04,0.29,0.14,0.41,1.21,0.12,0.06,1060.65,0.166,0.13,-0.029,0
2007,1.4,1.92,-0.03,0.07,0.09,0.62,0.5,0.18,0.04,7148.62,-0.01,0.06,-0.029,0
2012,0.814,-3.223,-0.037,-1.237,-0.508,1.632,0.26,-1.956,-2.778,39.166,-0.372,-0.154,-0.028,1
2007,1.06,-0.17,0.19,0.06,-0.01,0.67,2.23,0,-0.06,6.65,0.238,0.549,-0.024,0
2007,1.53,5.26,-0.03,0.33,0.11,0.73,0.47,0.23,0.06,902.94,0.061,0.055,-0.024,0
2007,2.6,1.09,0.07,0.7,0.13,0.59,0.74,0.18,0.04,9833.82,0.023,0.08,-0.023,0
2007,2.75,4.19,0.04,0.36,0.15,0.96,0.53,0.29,0.05,5676.42,0.067,0.029,-0.022,0
2007,1.09,1.06,0.56,0.29,0.14,0,2.02,0.07,0.14,4.43,0.208,0.364,-0.022,0
2007,1.75,1.87,0.12,0.28,0.1,0.66,0.94,0.11,0.06,149.27,0.152,0.143,-0.021,0
2007,3.63,1.64,0.48,0.77,0.19,0,0.84,0.23,0.05,1316.91,-0.255,-0.024,-0.02,0
2014,0.798,-3.138,-0.001,-0.903,-0.437,2.048,0.284,-1.54,-4.184,19.892,-0.291,0.156,-0.018,1
2007,1.19,2.76,0.03,0.11,0.08,1.36,0.4,0.2,0.07,132.27,0.02,-0.048,-0.016,0
2007,1.36,3.28,-0.01,0.32,0.09,0.84,0.39,0.22,0.07,842.39,0.016,0.049,-0.016,0
2011,1.509,-2.43,-0.146,-1.39,-0.026,9.96,0.827,-0.032,-25.256,-2.725,-0.399,-0.12,-0.014,1
2007,1.03,2.02,-0.04,-0.03,0.04,4.19,0.8,0.04,0.14,328.44,-0.02,0.015,-0.013,0
2007,1.28,0.63,0.64,0.4,0.08,0,1.17,0.07,0.06,9.29,0.064,0.105,-0.01,0
2007,2.06,2,0.47,0.61,0.17,0.17,2.59,0.07,0.07,121.6,0.064,0.06,-0.01,0
2007,1.05,4.04,0.14,0.22,0.03,0,7.38,0,0.16,5.11,0.234,0.173,-0.008,0
2010,2.309,-3.679,0.091,-1.571,-0.038,-1.581,1.357,-0.028,-36.791,-0.041,-0.201,-0.167,-0.006,1
2007,1.13,-5.58,0.1,-0.25,-0.1,1.76,0.52,-0.2,-0.74,921.16,-0.121,0.064,-0.005,0
2007,1.35,2.23,0.59,0.73,0.07,0,0.88,0.08,0.08,16.76,0.094,0.016,-0.004,0
2007,1.37,1.81,0.19,0.53,0.1,0.54,1.14,0.08,0.07,177.07,0.05,0.003,-0.004,0
2007,1.5,3.85,0.34,0.16,0.14,0.07,0.86,0.17,0.1,21.04,0.061,0.149,-0.001,0
2008,2.718,-0.367,-0.035,-2.087,-0.414,0,0.952,-0.435,-36.677,-0.723,-0.527,0.784,0,1
2008,1.057,-0.534,-0.891,-0.802,-0.122,99.834,0.237,-0.516,-8.899,1108.522,-0.205,1.813,0,1
2010,0.698,-7.866,-0.437,0.153,-0.019,1.117,0.6,-0.032,-2.712,9.475,-0.28,0.361,0,1
2011,1.827,-0.017,0.976,-5.699,-0.092,0,0,,-0.049,8.618,-0.153,0,0,1
2011,5.601,-0.015,-4.409,-39.218,0.277,-1.176,1.929,0.144,-2.232,-17.586,-0.126,-0.238,0,1
2013,0.633,-0.019,0.034,0.358,0.054,0.244,1.555,0.034,-0.009,29.146,-0.034,-0.003,0,1
2007,35.14,0.04,-5.13,-66.35,-1.63,-0.44,0.01,-112.8,0.21,-285.43,172,1.5,0,0
2007,1.31,13.48,0.06,0.64,0.13,0.04,1.09,0.12,0.1,5.68,0.037,0.058,0,0
2007,0.85,0.19,0.01,0.09,0.07,1.86,0.36,0.2,0.09,2.66,0.238,0.11,0,0
2007,0.72,-0.01,0.33,-12.83,-0.07,0,0.9,-0.07,-0.12,70.8,-0.075,-0.12,0,0
2007,,-0.05,,,,0,,,-0.01,-82.22,0,0,0,0
2007,1.11,3.65,0.37,0.55,0.04,0.02,1.38,0.03,0.06,75.77,-0.137,0.079,0,0
2007,1.78,2.13,0.06,0.35,0.06,0.01,0.29,0.19,0.04,2703.01,-0.031,-0.122,0,0
2007,1.53,2.81,0.05,0.31,0.11,1.76,1.24,0.08,0.06,336.7,0.031,0.129,0,0
2007,45.21,-0.02,0.54,-9.79,-0.83,0.57,0.19,-4.43,-0.02,5921.87,2.455,-0.091,0,0
2007,2.05,0.82,0.22,0.68,0.12,0,0.7,0.17,0.05,11.43,0.063,0.055,0,0
2007,1.28,2.47,0.39,0.99,0.12,0.08,1.44,0.08,0.07,14.04,0.006,-0.061,0,0
2007,1.41,1.98,0.28,0.44,0.08,0.49,0.99,0.08,0.06,123.3,0.04,0.029,0,0
2007,1.24,0.45,0.4,0.52,0.06,0.06,1.84,0.03,0.05,19.92,-0.063,-0.016,0,0
2007,1.36,2.62,0.23,0.3,0.08,0.79,1.08,0.08,0.05,53.94,0.31,0.104,0,0
2007,1.46,5.04,0.02,-0.04,0.1,0.66,0.47,0.21,0.13,1776.99,0.023,0.009,0.001,0
2007,2.09,-0.95,-0.13,0.42,0.14,1.18,0.78,0.18,-0.04,2353.09,-0.25,0.095,0.004,0
2012,1.221,-19.621,-0.25,-0.731,-0.07,-8.969,1.613,-0.044,-2.752,-5.128,-0.255,-0.005,0.006,1
2007,1.58,6.61,0.01,0.42,0.12,0.33,1.2,0.1,0.09,7769.71,0.085,0.069,0.006,0
2007,2.9,3.65,0.14,0.57,0.2,0.58,0.76,0.26,0.05,573.44,-0.041,0.164,0.006,0
2007,1.73,2.6,0.39,0.53,0.15,0.1,1.74,0.09,0.07,43.86,0.104,0.252,0.007,0
2007,1.31,0.02,0.31,0.05,0.09,0.98,0.65,0.14,0.06,92.56,0.326,0.202,0.011,0
2007,2.54,7.33,0.26,1.04,0.19,0,0.89,0.21,0.06,5.34,0.037,0.093,0.012,0
2007,0.98,3.29,0,0.04,0.05,1.27,0.78,0.06,0.13,35.36,0.101,0.051,0.016,0
2007,4.73,1.13,0.26,0.53,0.2,0.18,1.56,0.13,0.03,103.02,0.078,0.022,0.017,0
2007,1.4,3.36,0.29,0.25,0.08,0.47,1.75,0.05,0.1,1215.77,0.181,0.203,0.019,0
2007,2.74,2.33,0.12,0.32,0.14,0.69,0.65,0.21,0.04,7586.93,0.098,0.153,0.02,0
2007,1.21,2.73,-0.05,0.07,0.06,1.58,0.33,0.18,0.06,740.7,0.063,0.06,0.02,0
2011,0.95,-1.649,-0.067,0.021,0.022,8.769,0.837,0.027,-2.011,3.334,-0.016,0.21,0.023,1
2007,1.58,0.26,0.57,0.15,0.08,0,0.74,0.1,0.04,45.94,0.02,0.055,0.023,0
2014,1.885,-1.068,0.049,-1.127,-0.048,-11.374,2.221,-0.022,-0.158,-569.014,-0.056,0.028,0.024,1
2007,1.32,1.51,-0.01,0.15,0.05,0.75,0.31,0.17,0.04,40.99,0.017,0.097,0.025,0
2007,1.43,3.35,0.04,0.37,0.07,0.45,0.68,0.1,0.06,82.19,0.101,0.046,0.026,0
2012,0.898,-0.858,0.101,0.052,-0.156,1.632,3.055,-0.051,-0.964,9.692,-0.022,-0.028,0.027,1
2007,1.06,3.06,-0.04,0.12,0.06,1.03,0.31,0.18,0.07,121.26,-0.019,0.036,0.027,0
2007,1.51,1.05,0.32,0.42,0.07,0,2.53,0.03,0.04,97.14,0.103,0.046,0.027,0
2007,11.3,0.03,0.07,0,-0.01,1.66,0.69,-0.01,0,24121.32,0.768,-0.049,0.031,0
2007,1.15,1.44,0.3,0.38,0.1,0.3,2.15,0.05,0.08,53.86,0.001,-0.045,0.031,0
2007,1.35,3.82,0.13,0.14,0.05,1.33,1.78,0.03,0.09,42.16,0.649,0.632,0.032,0
2007,2.09,3.27,0.05,0.41,0.13,0.83,1.02,0.12,0.05,3721.05,0.093,0.103,0.034,0
2007,2.79,1.23,0.4,1.02,0.23,0.03,0.91,0.25,0.06,4767.73,0.124,0.062,0.034,0
2007,1.94,5.53,-0.07,0.28,0.1,0.91,1.13,0.09,0.06,5271.48,0.139,0.079,0.034,0
2007,1.53,0.42,0.6,0.43,0.08,0,1.66,0.05,0.05,43.86,0.131,0.055,0.037,0
2007,3.13,3.65,0.23,0.82,0.18,0.27,0.87,0.21,0.04,1118.4,0.074,0.089,0.038,0
2007,3.83,1.24,0.08,0.55,0.18,2.95,1.74,0.1,0.03,10161.67,0.091,0.134,0.042,0
2007,1.793,-0.371,-0.356,-11.004,-0.413,-8.433,1.478,-0.28,-1.092,-752.779,-0.07,0.191,0.047,1
2007,1.65,1.13,0.7,0.35,0.16,0.44,1.5,0.11,0.08,7.81,0.206,0.111,0.05,0
2007,1.16,3.32,0.32,0.31,0.09,0.35,1.98,0.04,0.08,166.84,0.208,0.177,0.05,0
2007,1.97,6.89,0.13,0.6,0.24,0.08,0.43,0.57,0.12,329.04,0.146,0.182,0.051,0
2007,3.95,1.06,0.25,0.21,0.27,0,1.41,0.19,0.05,94.07,0.125,0.417,0.053,0
2007,1.39,4.42,-0.11,0.23,0.1,2.1,0.72,0.14,0.1,2437.83,0.226,0.038,0.053,0
2009,1.286,-0.927,-0.735,-2.228,-0.08,-0.063,0,,-35.655,-0.14,0.161,-1,0.058,1
2007,1.92,-1.88,0.39,0.36,0.06,1.15,0.48,0.12,-0.04,23.28,0.069,0.741,0.06,0
2009,2.566,0.624,-0.083,-2.548,0.601,-1.15,3.733,0.161,0.405,-24.97,-0.087,0.244,0.063,1
2013,0.885,-0.648,-0.037,-0.22,-0.145,0.693,0.222,-0.651,-0.498,55.624,-0.064,0.065,0.063,1
2007,1.23,0.16,0.54,0.24,0.03,0.2,0.71,0.04,0.04,6.2,0.471,0.017,0.065,0
2007,3.27,1.87,0.42,0.05,0.33,0,3.2,0.1,0.07,686.47,-0.006,0.157,0.066,0
2007,2.23,4.81,0.03,0.5,0.11,0.67,0.79,0.13,0.05,825.01,0.132,0.134,0.068,0
2007,1.51,3.88,-0.08,0.08,0.12,0.66,0.53,0.22,0.08,729.22,0.029,0.045,0.07,0
2007,2.03,3.43,0.04,0.35,0.17,0.18,3.14,0.05,0.08,1616.94,-0.06,0.114,0.071,0
2007,1.35,2.62,0.37,0.29,0.09,0.36,2.13,0.04,0.07,261.6,0.183,0.1,0.073,0
2007,2.26,0.43,0.22,0,0.13,0.12,2.44,0.05,0.04,58.68,0.528,0.743,0.077,0
2007,1.17,0.87,0.55,0.74,0.08,0,0.77,0.1,0.07,204.92,0.11,0.081,0.077,0
2007,2.28,0.71,0.3,0.41,0.14,0.43,0.87,0.17,0.04,86.69,-0.053,0.118,0.084,0
2007,2.38,2.12,0.11,0.4,0.14,0.73,0.78,0.18,0.05,435.21,0.289,0.175,0.087,0
2007,1.67,1.66,0.47,0,0.18,0.59,1.14,0.15,0.07,148.82,0.117,0.205,0.089,0
2009,2.065,-2.123,-0.989,-1.706,-0.152,-0.353,5.908,-0.026,-1.573,-1.561,-0.237,-0.171,0.09,1
2007,2.47,2.28,0.31,0.62,0.23,0,1.66,0.14,0.06,35.65,-0.038,0.23,0.093,0
2007,1.48,0.14,0.68,-0.14,0.08,0,0.89,0.08,0.04,20.34,-0.146,-0.169,0.098,0
2007,1.72,8.45,0,0.38,0.17,0.27,0.35,0.49,0.08,780.19,0.178,0.234,0.118,0
2014,2.184,-0.117,-0.996,-1.258,-0.234,-1.224,0.989,-0.237,-1.061,-31.874,-0.343,1.173,0.14,1
2007,1.28,1.69,0.15,0.32,0.13,0.2,1.56,0.08,0.11,44.68,0.255,0.132,0.171,0
2007,1.37,3.69,-0.05,0.19,0.06,0.33,0.54,0.11,0.06,1416.53,0.065,0.098,0.173,0
2007,1.2,1.4,0.55,0.42,0.19,0.03,2.87,0.06,0.15,3.19,0.109,0.165,0.173,0
2007,5.71,4.01,0.5,0.36,0.17,0,0.95,0.18,0.03,8036.32,0.473,0.243,0.174,0
2007,1.79,3.79,0.14,0.56,0.13,1.12,0.97,0.13,0.06,93.43,0.237,0.214,0.175,0
2007,1.92,3.46,0.31,0.44,0.07,0.47,0.74,0.1,0.03,77.07,0.235,0.158,0.185,0
2007,1.89,0.6,0.04,0.23,0.11,0.4,0.63,0.18,0.05,790.87,0.152,0.138,0.2,0
2007,1.28,2.61,-0.02,0.15,0.07,0.77,0.28,0.26,0.06,64.96,0.102,0.059,0.219,0
2007,3.85,1.89,0.31,0.43,0.23,0.47,1.52,0.15,0.04,57.33,0.261,0.429,0.229,0
2007,1.59,2.02,0.18,0.37,0.11,0.56,0.8,0.13,0.06,115.04,0.244,0.338,0.229,0
2008,1.178,-1.535,-0.909,-0.622,-0.205,-6.111,0.33,-0.622,-19.182,-33.608,-0.04,1.565,0.235,1
2007,1.67,0.43,0.01,0.4,0.07,0.41,0.38,0.18,0.03,20.83,0.191,-0.171,0.236,0
2007,1.2,4.34,0.11,0.18,0.09,2.21,0.36,0.25,0.08,117.25,0.039,0.014,0.249,0
2007,1.97,1.29,0.14,0.09,0.07,0.22,0.29,0.23,0.03,2085.7,0.027,0.123,0.286,0
2014,3.875,-0.23,-0.171,-4.25,-1.548,-1.749,0.809,-1.913,-0.575,-88.091,0.11,1.169,0.3,1
2007,0.881,-0.014,0.187,-0.187,-0.167,0.807,0.996,-0.167,-0.007,13.702,-0.139,0.15,0.329,1
2007,2.43,0.34,0.03,0.16,0.13,0.38,1.29,0.1,0.04,74.27,0.176,0.103,0.331,0
2007,1.12,1.94,0.41,0.23,0.09,0.91,1.02,0.09,0.1,49.52,0.276,0.305,0.385,0
2007,3,0.9,0.1,0.51,0.17,0.3,1.14,0.15,0.04,77.72,0.672,0.746,0.391,0
2007,3.09,0.98,0.17,0.04,0.06,0.01,0.16,0.4,0.02,538.06,0.798,-0.07,0.397,0
2007,4.73,1.55,0.33,0.11,0.22,0,0.98,0.23,0.04,1769.07,0.229,0.181,0.412,0
2007,1.164,-0.291,0.042,0.039,0.024,1.152,1.085,0.022,-0.018,35.883,1.076,0.976,0.429,1
2013,1.351,-0.694,0.209,-3.488,-0.565,0.233,0.379,-1.49,-0.687,73.07,0.518,0.275,0.573,1
2007,2.84,1.13,0.51,0.42,0.19,0.66,1.28,0.15,0.05,9.16,0.366,0.285,0.618,0
2007,1.52,3.08,-0.07,0.38,0.09,1.13,1.01,0.09,0.06,258.57,0.454,0.131,0.643,0
2013,1.354,-0.864,0.231,-0.351,0.037,-2.421,1.497,0.025,-0.126,-4.548,0.85,0.196,0.682,1
2011,1.076,-0.585,0.134,-0.322,0.028,0.06,0.431,0.066,-0.069,51.313,0.668,1.016,0.768,1
2013,1.824,-0.749,0.079,-1.114,-0.212,-2.174,0.137,-1.55,-2.496,-8.518,-0.211,-0.75,0.908,1
2012,1.676,-5.622,-1.315,-1.358,0.027,-2.091,0.605,0.044,-62.467,-0.025,-0.288,4.599,0.996,1
2007,1.46,0.01,-0.4,-21.9,0.05,4.64,0.08,0.63,0.69,275.12,-0.075,1.483,1,0
2007,1.114,-0.337,-0.143,-0.353,-0.054,10.174,1.371,-0.039,-0.536,114.985,1.175,0.281,1.109,1
2007,0.93,-8.53,0,-0.07,-0.04,2.97,0.38,-0.1,-0.41,35.85,1.221,0.098,1.432,0
2008,1.51,-0.043,0.252,-8.346,-0.601,0.286,0.007,-80.732,-0.571,361.447,0.191,-0.192,2.333,1
2009,10.47,-0.034,-1.646,-10.188,-0.856,-1.274,0.76,-1.126,-0.177,-138.389,-0.317,-0.346,,1
2010,0.767,-1.155,-0.058,-0.866,-0.024,0.303,0.618,-0.039,-0.329,,-0.059,-0.007,,1
2011,0.706,0.013,0.125,-1.531,0.054,0.499,1.432,0.038,0.165,11.533,0.128,0.107,,1
2014,1.15,0.118,-0.584,-0.625,-0.06,-40.387,0.127,-0.475,0.653,-225.381,5.931,3.124,,1
2015,1.574,-26,-0.06,-2.247,-0.174,-0.494,0.625,-0.278,-2363.637,,-0.558,-0.308,,1
